subset,metric,n_blocks,n_algorithms,friedman_stat,pvalue,cd,rank_ed,rank_dtw,rank_msm,rank_sbd,rank_idk
perturbation_type=length,nmi,15,5,18.98666666666668,0.000790698996155708,1.5748812673105734,3.8666666666666667,2.533333333333333,1.8666666666666667,2.8,3.933333333333333
perturbation_type=noise,nmi,15,5,29.386666666666713,6.523514199269217e-06,1.5748812673105734,3.7333333333333334,2.7333333333333334,2.4,1.6666666666666667,4.466666666666667
perturbation_type=shift,nmi,15,5,21.75999999999999,0.00022371364687743124,1.5748812673105734,4.266666666666667,2.4,2.8666666666666667,1.8666666666666667,3.6
