subset,metric,n_blocks,n_algorithms,friedman_stat,pvalue,cd,rank_ed,rank_dtw,rank_msm,rank_sbd,rank_idk
perturbation_type=length,ari,15,5,15.626666666666665,0.003563302102974905,1.5748812673105734,4.066666666666666,2.6666666666666665,2.0,2.7333333333333334,3.533333333333333
perturbation_type=noise,ari,15,5,27.413333333333355,1.6397760932690196e-05,1.5748812673105734,4.0,2.8,2.466666666666667,1.6,4.133333333333334
perturbation_type=shift,ari,15,5,20.906666666666695,0.0003304508826867977,1.5748812673105734,4.466666666666667,2.2666666666666666,2.933333333333333,2.1333333333333333,3.2
