dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,idk,distributional,0.10531549790568842,0.103369610798987,10.694637600000533,42,7,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.11356152632889675,0.12220585095687105,11.306613500000822,42,8,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.10889236944251945,0.11655639516713275,10.698150000001078,42,9,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,-0.004720661091317462,0.0066290977545881945,11.501054699999258,42,10,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6256580947656463,0.638115642633016,1.317918299999974,42,1,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.4188028472793116,0.4375797514325246,1.1413524000001871,42,2,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.30302957341990405,0.3514597728154823,1.0870543000000907,42,3,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.31278424055748344,0.3543740563012139,1.4921770999999353,42,4,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5954564123900509,0.5943148461558293,2.4899578999998084,42,5,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.45678520894998836,0.48424415488952216,3.955918299999894,42,6,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
