dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
ACSF1,dtw,elastic,0.2105700332730249,0.4265303615184699,1525.2060509,42,1,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1832588982104374,0.4018072264322173,1664.3160475999998,42,2,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1953416557616545,0.4161562607607992,1584.6711334,42,3,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1516236777487659,0.404141257469303,2989.1723379000005,42,4,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1464561617304637,0.3806871748449308,3504.685715899999,42,5,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.2033808359523988,0.4198106801605473,19401.896937999994,42,6,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1558459518717245,0.4128638324990218,1675.2707518000025,42,7,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1646793141110442,0.4066844369569717,1559.2130398000008,42,8,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.1771784620867609,0.4218271877346837,1501.4613802000022,42,9,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,dtw,elastic,0.2253211708923226,0.4618530014553951,1542.6243568999998,42,10,none,0,200,200,1460,10,"{""window"": 146, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.2094464404219776,0.4124696522010855,0.0037955000000025,42,1,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1335965445484598,0.3275807613167344,0.0677840999996988,42,2,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1407642199316145,0.3403859869059118,0.0041421999994781,42,3,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1339178177670253,0.3220340509625817,0.0172908000004099,42,4,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1822157838808001,0.3481967739841699,0.0151849000012589,42,5,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1683587336603742,0.3361579843679799,0.0139217000014468,42,6,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1730717203821817,0.3531823623307041,0.0057527999961166,42,7,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1448748918192241,0.3171767056167615,0.0053158999944571,42,8,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.189151581328407,0.3818471825205137,0.0035002000076929,42,9,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,ed,lock-step,0.1974546933186008,0.4181796027842753,0.0044390999973984,42,10,none,0,200,200,1460,10,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,idk,distributional,0.3622001186047765,0.5710248939496907,11.777777600000263,42,1,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.3836199624623041,0.5706523323826144,9.04643809999834,42,2,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.299221276297808,0.5152459738223741,7.719710900000791,42,3,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.3323624736920878,0.5471127907816261,7.7177214000003005,42,4,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.3164614204728294,0.5288612564543108,7.726086500002566,42,5,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.33809944465691,0.5447062039052478,7.724806099999114,42,6,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.3050593538068483,0.5478575954918653,7.702517000001535,42,7,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.34259152426611494,0.5365240532465272,7.769492100000207,42,8,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.39567647544651996,0.5821622477841352,7.739954699998634,42,9,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,idk,distributional,0.3316632972268786,0.5518619632025937,7.757893000001786,42,10,none,0,200,200,1460,10,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 146, ""window_step"": 36}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
ACSF1,msm,elastic,0.3372496995575015,0.5391152708836815,548.2894823000001,42,1,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2481041103531128,0.4472301405090322,554.3940323999996,42,2,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2291627040848286,0.4944701323909538,574.9803609999999,42,3,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2314478391691973,0.4810959317664556,1030.6728674999997,42,4,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2634000897711829,0.4908804753597721,1038.4025419999998,42,5,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2694081236303966,0.4696094131609838,584.2091384000087,42,6,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2165986055726062,0.4701461548545507,601.4028640999968,42,7,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2535378206819061,0.4601686072636438,536.6013348999986,42,8,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2784090129488793,0.4900928722303544,520.474132400006,42,9,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,msm,elastic,0.2894210880721983,0.5133432222454188,570.4312857999976,42,10,none,0,200,200,1460,10,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
ACSF1,sbd,sliding,0.20104138603522306,0.4209241927210812,4.178708399998868,42,1,none,0,200,200,1460,10,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""init"": ""random"",""max_iter"": 300,""method"": ""alternate""}"
