dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,dtw,elastic,0.7781076632899532,0.7703043379830262,6.250336799999992,42,9,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.4328934976163429,0.6072411891488683,0.9306940000000026,42,9,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.19947203098280664,0.23440317234814387,0.003953199999997992,42,10,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.20640321936352474,0.25597146696144646,6.388766600000011,42,10,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.26143765286273773,0.28465581601719603,1.0462810000000076,42,10,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.21976899108768466,0.2616295556891146,0.0022754999999961,42,1,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.799321313118623,0.8007850308795834,6.348815299999998,42,1,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.49573310096378165,0.5752291400802748,1.0086914000000178,42,1,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.23151017964231918,0.27133450995489344,0.002983100000008676,42,2,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.799321313118623,0.8007850308795834,6.315440099999989,42,2,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5988235902371511,0.6622134051341639,1.0201620999999932,42,2,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.18644831670847808,0.2574803716736202,0.0010382999999904996,42,3,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.2918199909506973,0.33979280581873816,6.504457399999993,42,3,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.598049554408974,0.604862649259335,1.031648599999997,42,3,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.18776329739822295,0.24932177099808583,0.0027402000000051885,42,4,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.799321313118623,0.8007850308795834,6.435587399999989,42,4,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.28737128076654034,0.35468094385380167,1.04952440000001,42,4,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
