dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params,seed,window_label,window_size,window_step,window_fraction,mode
Plane,idk,distributional,-0.0001201165768582659,0.052501390962178894,0.21043279999867082,42,1,direct,direct,210,210,144,7,"{""window_size"": 144, ""window_step"": 144, ""no_window_threshold"": 144, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,direct,144,144,,direct
Plane,idk,distributional,0.9666577024581683,0.9710796595862159,4.5124621000140905,42,1,sliding,w=14 (0.10L),210,210,144,7,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=14 (0.10L),14,4,0.1,sliding
Plane,idk,distributional,0.7121938250311884,0.8334785323632754,2.1634132000035606,42,1,sliding,w=29 (0.20L),210,210,144,7,"{""window_size"": 29, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=29 (0.20L),29,7,0.2,sliding
Plane,idk,distributional,-9.035317728276637e-06,0.052655832163801784,0.14928109996253625,42,2,direct,direct,210,210,144,7,"{""window_size"": 144, ""window_step"": 144, ""no_window_threshold"": 144, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,direct,144,144,,direct
Plane,idk,distributional,0.7285028093155732,0.8244160776579795,4.721323499979917,42,2,sliding,w=14 (0.10L),210,210,144,7,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=14 (0.10L),14,4,0.1,sliding
Plane,idk,distributional,0.7304338485958507,0.83583856244517,2.3022375000291504,42,2,sliding,w=29 (0.20L),210,210,144,7,"{""window_size"": 29, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=29 (0.20L),29,7,0.2,sliding
