dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params,seed,window_label,window_size,window_step,window_fraction,mode
Plane,idk,distributional,-9.035317728276637e-06,0.052655832163801784,0.14502330002142116,42,2,direct,direct,210,210,144,7,"{""window_size"": 144, ""window_step"": 144, ""no_window_threshold"": 144, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,direct,144,144,,direct
Plane,idk,distributional,0.7805478499620435,0.8687172732023863,8.902356799982954,42,2,sliding,w=7 (0.05L),210,210,144,7,"{""window_size"": 7, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=7 (0.05L),7,2,0.05,sliding
Plane,idk,distributional,0.7285028093155732,0.8244160776579795,4.48988480004482,42,2,sliding,w=14 (0.10L),210,210,144,7,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=14 (0.10L),14,4,0.1,sliding
Plane,idk,distributional,0.7304338485958507,0.83583856244517,2.1759206000133418,42,2,sliding,w=29 (0.20L),210,210,144,7,"{""window_size"": 29, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=29 (0.20L),29,7,0.2,sliding
Plane,idk,distributional,-0.0001201165768582659,0.052501390962178894,0.15174739999929443,42,3,direct,direct,210,210,144,7,"{""window_size"": 144, ""window_step"": 144, ""no_window_threshold"": 144, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,direct,144,144,,direct
Plane,idk,distributional,0.6209332283300514,0.7967185165389515,8.812265099957585,42,3,sliding,w=7 (0.05L),210,210,144,7,"{""window_size"": 7, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=7 (0.05L),7,2,0.05,sliding
Plane,idk,distributional,0.6356603315711385,0.8097250167839842,4.57983050000621,42,3,sliding,w=14 (0.10L),210,210,144,7,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=14 (0.10L),14,4,0.1,sliding
Plane,idk,distributional,0.723446306758877,0.8329930789329705,2.0971770000178367,42,3,sliding,w=29 (0.20L),210,210,144,7,"{""window_size"": 29, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 210, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=29 (0.20L),29,7,0.2,sliding
Trace,idk,distributional,3.555548262123223e-05,0.02827720403170553,0.13234419998480007,42,1,direct,direct,200,200,275,4,"{""window_size"": 275, ""window_step"": 275, ""no_window_threshold"": 275, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,direct,275,275,,direct
Trace,idk,distributional,0.22560334894203699,0.2652711328139662,6.907964100013487,42,1,sliding,w=14 (0.05L),200,200,275,4,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=14 (0.05L),14,4,0.05,sliding
