dataset,measure,paradigm,ari,nmi,runtime,seed,perturbation_type,perturbation_level,n_samples,series_length,k
ECGFiveDays,idk,distributional,-0.00039502947666916494,0.0005322942491066886,11.464831100000083,1,none,0,884,136,2
ECGFiveDays,sbd,sliding,0.0035978445283792824,0.052187835562030174,0.20545820000006643,2,none,0,884,136,2
ECGFiveDays,idk,distributional,0.0028849191060334985,0.0029006912507221674,11.24229639999976,2,none,0,884,136,2
ECGFiveDays,sbd,sliding,0.007586629398285166,0.06323556403123604,0.20676459999958752,3,none,0,884,136,2
ECGFiveDays,idk,distributional,-0.0011253972230869948,0.0,11.971244899999874,3,none,0,884,136,2
ECGFiveDays,sbd,sliding,0.0038746204222384513,0.053913992662748614,0.2009250000000975,4,none,0,884,136,2
ECGFiveDays,idk,distributional,0.006662173365876675,0.005634730002613715,11.991989699999976,4,none,0,884,136,2
ECGFiveDays,sbd,sliding,0.0021427750371044744,0.03359921968808243,0.21392680000008113,5,none,0,884,136,2
ECGFiveDays,idk,distributional,0.0013659449448720517,0.0018306172211552882,12.895986200000152,5,none,0,884,136,2
GunPoint,sbd,sliding,0.005481768333819538,0.01392001420263122,0.10760349999964092,1,none,0,200,150,2
GunPoint,idk,distributional,0.01787314610287157,0.017807023710876748,2.8724222000000736,1,none,0,200,150,2
GunPoint,sbd,sliding,0.0602942887551635,0.14923454001587347,0.060141099999782455,2,none,0,200,150,2
GunPoint,idk,distributional,-0.003434315682297517,0.00115698443352932,1.8166848000000755,2,none,0,200,150,2
GunPoint,sbd,sliding,-0.0009652879238248778,0.002818693038866029,0.10232730000006995,3,none,0,200,150,2
GunPoint,idk,distributional,0.039295997220270815,0.032270469982633006,1.773730400000204,3,none,0,200,150,2
GunPoint,sbd,sliding,0.03726952220266928,0.06516315315316167,0.06067259999963426,4,none,0,200,150,2
GunPoint,idk,distributional,-0.004945432066217881,7.222438861871967e-05,1.7955090999994354,4,none,0,200,150,2
GunPoint,sbd,sliding,0.017514563576153604,0.04632870840562752,0.05702149999979156,5,none,0,200,150,2
GunPoint,idk,distributional,0.14041914716597065,0.12090862116790933,1.8194420999998329,5,none,0,200,150,2
Plane,sbd,sliding,0.5796563260873373,0.7695096949512349,0.10019330000068294,1,none,0,210,144,7
Plane,idk,distributional,0.7851355680070572,0.8750190933558882,2.961689299999307,1,none,0,210,144,7
Plane,sbd,sliding,0.485754749924764,0.7377082864897846,0.06176739999955316,2,none,0,210,144,7
Plane,idk,distributional,0.758710856835733,0.8268839255771511,1.8702871999994386,2,none,0,210,144,7
Plane,sbd,sliding,0.3497543046722144,0.6398963216387701,0.10616889999982959,3,none,0,210,144,7
Plane,idk,distributional,0.5099882926768995,0.7072488627277503,1.8555147999995825,3,none,0,210,144,7
Plane,sbd,sliding,0.4589545612266365,0.7146254402148237,0.06017859999974462,4,none,0,210,144,7
Plane,idk,distributional,0.7822217939109627,0.8620791271718475,1.8662352000001192,4,none,0,210,144,7
Plane,sbd,sliding,0.7661662977951049,0.8580190010825528,0.059555599999839615,5,none,0,210,144,7
Plane,idk,distributional,0.9449375772023465,0.9497015428742226,1.8623891000006552,5,none,0,210,144,7
TwoPatterns,sbd,sliding,-4.86141546780044e-05,0.01484102572443049,1.1731936999995014,1,none,0,5000,128,4
TwoPatterns,idk,distributional,0.06478008110421332,0.07920921160939955,31.974053199999616,1,none,0,5000,128,4
TwoPatterns,sbd,sliding,8.909836979727454e-05,0.023597853513487595,1.124704799999563,2,none,0,5000,128,4
TwoPatterns,idk,distributional,0.030102010789690384,0.030432931321008636,31.729579400000148,2,none,0,5000,128,4
TwoPatterns,sbd,sliding,0.00016637892060039232,0.014650133086727383,1.1901892000005319,3,none,0,5000,128,4
TwoPatterns,idk,distributional,0.0707329819097393,0.08683609930063918,32.63570600000003,3,none,0,5000,128,4
TwoPatterns,sbd,sliding,0.0007171179698617321,0.020794145565938945,1.189459799999895,4,none,0,5000,128,4
TwoPatterns,idk,distributional,0.058033979484847974,0.06816064334219947,31.620005099999617,4,none,0,5000,128,4
TwoPatterns,sbd,sliding,-0.00017258766763418473,0.010816721736140348,1.1751419000001988,5,none,0,5000,128,4
TwoPatterns,idk,distributional,0.02640652410167486,0.035585053824690745,41.92276630000015,5,none,0,5000,128,4
Trace,sbd,sliding,0.055391103488759266,0.21768408771195188,0.1306611999998495,1,none,0,200,275,4
Trace,idk,distributional,0.15082961682630633,0.19081567665478721,1.4492078000002948,1,none,0,200,275,4
Trace,sbd,sliding,0.04617177897894723,0.21048577371662228,0.08246489999964979,2,none,0,200,275,4
Trace,idk,distributional,0.1662718713429904,0.20762125084535063,1.4681415000004563,2,none,0,200,275,4
Trace,sbd,sliding,0.0762203416928691,0.2407597096782222,0.07909879999988334,3,none,0,200,275,4
Trace,idk,distributional,0.0960902690815593,0.15147535899433134,1.3046148000003086,3,none,0,200,275,4
Trace,sbd,sliding,0.02044567501439935,0.16212006036317567,0.0790858999998818,4,none,0,200,275,4
Trace,idk,distributional,0.16193544481381753,0.21804262121635062,1.4841925999999148,4,none,0,200,275,4
Trace,sbd,sliding,0.0969190867670869,0.25571916394418054,0.0785583000006227,5,none,0,200,275,4
Trace,idk,distributional,0.14156515478666068,0.19631393572698794,1.2979905000001963,5,none,0,200,275,4
ArrowHead,sbd,sliding,0.11195938568056527,0.23396888686427736,0.14098340000055032,1,none,0,211,251,3
ArrowHead,idk,distributional,0.1730751572376849,0.18322497766908294,2.9723225000007005,1,none,0,211,251,3
ArrowHead,sbd,sliding,0.1666056664473938,0.25686673487344847,0.13320260000000417,2,none,0,211,251,3
ArrowHead,idk,distributional,0.16563767511101654,0.18477759162572116,1.8726034000001164,2,none,0,211,251,3
ArrowHead,sbd,sliding,0.02525761778310228,0.09219127274387236,0.1425961000004463,3,none,0,211,251,3
ArrowHead,idk,distributional,0.08847533473090369,0.1175366262728873,1.866007399999944,3,none,0,211,251,3
ArrowHead,sbd,sliding,0.09415168545826827,0.15569856871266666,0.09635630000047968,4,none,0,211,251,3
ArrowHead,idk,distributional,0.18045366578205413,0.15998789378932043,1.8935811999999714,4,none,0,211,251,3
ArrowHead,sbd,sliding,0.11230876387354603,0.1695803153800333,0.09856559999934689,5,none,0,211,251,3
ArrowHead,idk,distributional,0.16284308355828314,0.13226074507182728,2.7660758000001806,5,none,0,211,251,3
Coffee,sbd,sliding,0.008575380359612726,0.0197508918737442,0.07586050000008981,1,none,0,56,286,2
Coffee,idk,distributional,0.5012440223671004,0.42912186293947246,0.350503600000593,1,none,0,56,286,2
Coffee,sbd,sliding,0.7935155483146294,0.7484581820782018,0.028306899999734014,2,none,0,56,286,2
Coffee,idk,distributional,0.7934430876065852,0.7026444549760147,0.15345609999985754,2,none,0,56,286,2
Coffee,sbd,sliding,0.7297931101966997,0.6284966101428285,0.02941759999976057,3,none,0,56,286,2
Coffee,idk,distributional,0.6103468924742972,0.5405652415811882,0.15817640000022948,3,none,0,56,286,2
Coffee,sbd,sliding,0.7299352660768275,0.6934247667673387,0.0474819999999454,4,none,0,56,286,2
Coffee,idk,distributional,0.554447762201191,0.4702871686289219,0.14552269999967393,4,none,0,56,286,2
Coffee,sbd,sliding,0.5014189527572199,0.45930706108192376,0.02723450000030425,5,none,0,56,286,2
Coffee,idk,distributional,0.6687585404119641,0.5877484823949661,0.19113389999984065,5,none,0,56,286,2
